date,item,store,price,url
2026-05-26,Eggplant,Condis,1.99,https://compraonline.condis.es/berenjena-2-unidades-700g-aprox./p/191050/es_ES
2026-05-26,Banana,Condis,1.79,https://compraonline.condis.es/banana-extra-4-unidades-800g-aprox./p/190675/es_ES
2026-05-26,Apple,Condis,1.99,https://compraonline.condis.es/manzana-golden-4-unidades-800g-aprox./p/190530/es_ES
2026-05-26,Kiwi,Condis,4.96,https://compraonline.condis.es/kiwi-zespri-4-unidades-500g-aprox./p/190003/es_ES
2026-05-26,Orange,Condis,2.49,https://compraonline.condis.es/naranja-de-mesa-4-unidades-1200g-aprox./p/190579/es_ES
2026-05-26,Avocado,Condis,7.98,https://compraonline.condis.es/aguacate-2-unidades-550g-aprox./p/190015/es_ES
2026-05-26,Almonds,Condis,13.17,https://compraonline.condis.es/almendra-buenola-cruda-piel-300-g/p/115052/es_ES
2026-05-26,Walnuts,Condis,6.58,https://compraonline.condis.es/nueces--bolsa-600-g/p/190347/es_ES
2026-05-26,Hazelnuts,Condis,26.63,https://compraonline.condis.es/avellana-buenola-cruda-con-piel-300-g/p/115084/es_ES
2026-05-26,Pork loin,Condis,11.49,https://compraonline.condis.es/lomo-duroc-condis-trozos-800g-aprox./p/12560/es_ES
2026-05-26,Chicken breast,Condis,8.96,https://compraonline.condis.es/pechuga-de--pollo-entera-500-g/p/15062/es_ES
2026-05-26,Chicken thigh,Condis,6.25,https://compraonline.condis.es/muslos--de-pollo-600-g/p/15060/es_ES
2026-05-26,Plain natural yogurt,Condis,1.76,https://compraonline.condis.es/yogur-alteza-natural-4-x-125-g/p/782162/es_ES
